"Adam Chatfield","Australian rules football","15"
"Rondocephalus","Extinction","9"
"Public broadcasting","Radio","8"
"Kaifenheim","Municipalities of Germany","20"
"Andrew E. Unsworth","Salt Lake Tabernacle","9"
"Beetle","Taxonomic rank","9"
"Parigi-Lisbona","Jazz fusion","16"
"Deity","Religious belief","5"
"National highways of Japan","Japan","19"
"Mayor","Officer","10"
"Political union","State (polity)","10"
"Human behavior","Behavior","10"
"Psychology","Applied science","7"
"Financial asset","Intangible asset","12"
"Member of the European Parliament","European Parliament","14"
"Bayswater railway station, Melbourne","Belgrave railway line","15"
"Logic","Reason","4"
"Mental representation","Philosophy of mind","2"
"Digital media","Media (communication)","9"
"Mac Pro","Xeon","11"
"List of districts in Kerala","India","17"
"Bobby Balcena","Outfielder","22"
"Tarapur, Maharashtra","Census town","17"
"Iran","Country","17"
"Single (music)","Music","13"
"Ali Firouzi","Iran","18"
"Awareness","Consciousness","3"
"The Sontaran Games","BBC Books","-1"
"List of capitals in the United States","Washington, D.C.","21"
"Actinopterygii","Class (biology)","9"
"Music venue","Concert","15"
"Classical antiquity","History","10"
"Anamizu, Ishikawa","List of towns in Japan","16"
"Frederick Henry Sexton","Order of the British Empire","14"
"Insect","Class (biology)","9"
"Hempin\' Ain\'t Easy","B-Legit","19"
"Hetley Price","Bishop of Doncaster","10"
"Multi-party system","Christian Democratic Union of Germany","18"
"Atlanto-occipital joint","Condyloid joint","8"
"Car classification","ACRISS Car Classification Code","21"
"Dawn of the Dead (disambiguation)","Dawn of the Dead (2004 film)","24"
"Abrahamic religions","Monotheism","7"
"Recharged","Remix album","19"
"Science","Knowledge","5"
"Outline of physical science","Outline (list)","9"
"Charles Berkeley (bobsleigh)","United States","14"
"Israel Broadcasting Authority","Israel","9"
"The Cheetah Girls: One World (soundtrack)","Soundtrack","20"
"Treaty","International law","14"
"Numbered routes in South Africa","South Africa","12"
"James Clare","England","19"
"Modern art","Philosophy","1"
"List of Tamil films of 1981","Tamil cinema","22"
"List of Turkic dynasties and countries","Dynasty","20"
"Ancient Rome","Italic peoples","12"
"Tidaholm Municipality","Municipalities of Sweden","16"
"Folk music","Music","13"
"Pseudonym","Name","16"
"Voivodeship (Poland)","Opole Voivodeship","20"
"Requirement","New product development","20"
"Greensleeves","Folk music of England","19"
"Thomas Millie Dow","Glasgow School","3"
"States and territories of Australia","List of countries and dependencies by area","13"
"Sovereign state","Centralized government","9"
"Baltic Sea","Mediterranean sea (oceanography)","9"
"Society","Human","11"
"Don Mottley","Ohio House of Representatives","14"
"Community councils of Lesotho","Districts of Lesotho","25"
"Pitch (sports field)","British English","18"
"Types of educational institutions","Education","7"
"D\xc3\xa1vid Le\xc5\xa1ko","Slovakia","11"
"Boat","Watercraft","11"
"1985 Southeast Asian Games","Southeast Asian Games","15"
"Cargo","Good (economics)","9"
"Liupanshui","Guizhou","13"
"Ohio House of Representatives","Lower house","13"
"Oceanography","Earth science","7"
"Publishing","Dissemination","8"
"Public administration","Public policy","13"
"Discipline (academia)","Physics","8"
"Lake","Depression (geology)","9"
"Italic peoples","Proto-Indo-Europeans","11"
"Church of England","State religion","6"
"Lecture","Presentation","-1"
"Donald J. Trump State Park","State park","11"
"Presentation","Lecture","-1"
"Musical film","Film genre","22"
"Gokula","Jat people","13"
"Yucat\xc3\xa1n","Mexico City","20"
"Graph theory","Mathematics","5"
"Iranian New Wave","Cinema of Iran","19"
"Public finance","Economics","8"
"Ponnagyun","Town","16"
"Film genre","Film theory","21"
"Proposition","Contemporary philosophy","13"
"Artificial intelligence","Intelligence","6"
"Tamil cinema","Film industry","21"
"New product development","Business","19"
"Law","System","12"
"Ole\xc5\x9bnica County","Lower Silesian Voivodeship","22"
"Treaty of Namslau","Peace treaty","16"
"Fishing","Fish","11"
"Pinniped","Colloquialism","9"
"John Erman","Television director","11"
"Track gauge","Rail transport","12"
"Administrative division","Country","17"
"Country","Political geography","16"
"Motion (physics)","Physics","8"
"Professional wrestling","Performance art","13"
"Koduvila","Ashtamudi Lake","20"
"Richard Flanagan","2014 Man Booker Prize","26"
"Taxonomy (biology)","Science","6"
"Thaba-Lit\xc5\xa1oene","Community councils of Lesotho","26"
"Earth","World","12"
"Chivalric order","Knight","12"
"South","Noun","9"
"Qeshlaq-e Gharbi Rural District","Administrative divisions of Iran","19"
"World War II","World war","12"
"Computer architecture","Electronic engineering","8"
"Moth","Insect","10"
"Physical property","Property (philosophy)","3"
"Electric charge","Physical property","4"
"Cameralism","Public finance","9"
"Outfielder","Baseball","21"
"Salt Lake Tabernacle","Geographic coordinate system","8"
"Quality (philosophy)","Philosophy","1"
"Village","Human settlement","15"
"Public policy","Executive (government)","12"
"Geography","Earth","13"
